run_time_s,timestamp,config,num_users,actual_rpm,rt_95,total_cpu,total_mem,tau_ms,is_trigger,trigger_type,trigger_label
240,2026-02-12 11:49:31,67,,636.0,69.16,0.6479730152049175,514973696.0,66.9,1,1,T1_rt95_gt_tau
420,2026-02-12 11:52:31,67,,640.0,68.55,0.5530926344669594,525520896.0,66.9,1,1,T1_rt95_gt_tau
480,2026-02-12 11:53:31,67,,677.0,69.6,0.5503824546649652,526012416.0,66.9,1,1,T1_rt95_gt_tau
540,2026-02-12 11:54:31,67,,489.0,69.11,0.5554595272433437,526000128.0,66.9,1,1,T1_rt95_gt_tau
600,2026-02-12 11:55:31,67,,482.0,69.08,0.3949855970681201,525963264.0,66.9,1,1,T1_rt95_gt_tau
720,2026-02-12 11:57:31,67,,489.0,67.69,0.4466145713917563,526725120.0,66.9,1,1,T1_rt95_gt_tau
840,2026-02-12 11:59:31,67,,601.0,69.67,0.4392548361866837,525991936.0,66.9,1,1,T1_rt95_gt_tau
1080,2026-02-12 12:03:31,67,,636.0,68.36,0.4724907431013805,526737408.0,66.9,1,1,T1_rt95_gt_tau
1140,2026-02-12 12:04:31,67,,654.0,69.67,0.5399222452875501,527532032.0,66.9,1,1,T1_rt95_gt_tau
1320,2026-02-12 12:07:31,67,,929.0,71.84,0.7276677500422405,528392192.0,66.9,1,1,T1_rt95_gt_tau
1440,2026-02-12 12:09:31,67,,962.0,72.69,0.8267765776013256,529362944.0,66.9,1,1,T1_rt95_gt_tau
1560,2026-02-12 12:11:31,67,,960.0,72.13,0.8409524243194674,529481728.0,66.9,1,1,T1_rt95_gt_tau
1620,2026-02-12 12:12:31,67,,860.0,69.96,0.8163859278444603,529883136.0,66.9,1,1,T1_rt95_gt_tau
1680,2026-02-12 12:13:31,67,,664.0,68.3,0.6937050865647046,529223680.0,66.9,1,1,T1_rt95_gt_tau
1740,2026-02-12 12:14:31,67,,610.0,67.64,0.4953125110301919,529285120.0,66.9,1,1,T1_rt95_gt_tau
1800,2026-02-12 12:15:31,67,,525.0,67.76,0.5139925729683195,529321984.0,66.9,1,1,T1_rt95_gt_tau
180,2026-02-12 12:52:56,83,,797.0,67.32,0.7460978848797684,607039488.0,66.9,1,1,T1_rt95_gt_tau
1020,2026-02-12 13:06:56,83,,606.0,67.41,0.4747206010312653,613421056.0,66.9,1,1,T1_rt95_gt_tau
1320,2026-02-12 13:11:56,83,,929.0,66.99,0.6850012421215743,613588992.0,66.9,1,1,T1_rt95_gt_tau
60,2026-02-12 21:38:19,96,,958.0,69.77,0.2374299463414924,647413760.0,66.9,1,1,T1_rt95_gt_tau
60,2026-02-13 03:32:36,172,,958.0,78.76,0.2668459786743688,680509440.0,66.9,1,1,T1_rt95_gt_tau
240,2026-02-13 03:35:36,172,,636.0,76.46,0.7521358556291322,681148416.0,66.9,1,1,T1_rt95_gt_tau
300,2026-02-13 03:36:36,172,,521.0,76.82,0.6038722812555108,681037824.0,66.9,1,1,T1_rt95_gt_tau
420,2026-02-13 03:38:36,172,,640.0,76.52,0.6133396901638815,681652224.0,66.9,1,1,T1_rt95_gt_tau
480,2026-02-13 03:39:36,172,,677.0,76.24,0.5472697990971682,681721856.0,66.9,1,1,T1_rt95_gt_tau
540,2026-02-13 03:40:36,172,,489.0,77.25,0.5999355801568962,682369024.0,66.9,1,1,T1_rt95_gt_tau
720,2026-02-13 03:43:36,172,,489.0,76.93,0.4950989684164559,684527616.0,66.9,1,1,T1_rt95_gt_tau
1020,2026-02-13 03:48:36,172,,606.0,76.92,0.4907059290802051,686129152.0,66.9,1,1,T1_rt95_gt_tau
1080,2026-02-13 03:49:36,172,,636.0,76.97,0.5967015332043766,686018560.0,66.9,1,1,T1_rt95_gt_tau
1200,2026-02-13 03:51:36,172,,815.0,77.31,0.6152691193424316,686071808.0,66.9,1,1,T1_rt95_gt_tau
1320,2026-02-13 03:53:36,172,,929.0,78.38,0.6766010961919915,686399488.0,66.9,1,1,T1_rt95_gt_tau
1380,2026-02-13 03:54:36,172,,958.0,78.99,0.8592416228235279,686718976.0,66.9,1,1,T1_rt95_gt_tau
1500,2026-02-13 03:56:36,172,,979.0,81.22,0.92673073927682,687255552.0,66.9,1,1,T1_rt95_gt_tau
1560,2026-02-13 03:57:36,172,,960.0,79.2,0.9020255649035686,687112192.0,66.9,1,1,T1_rt95_gt_tau
1620,2026-02-13 03:58:36,172,,860.0,77.77,0.9231131607664902,687169536.0,66.9,1,1,T1_rt95_gt_tau
1680,2026-02-13 03:59:36,172,,664.0,76.88,0.7726371501301621,686579712.0,66.9,1,1,T1_rt95_gt_tau
1740,2026-02-13 04:00:36,172,,610.0,77.34,0.6269431561858965,687280128.0,66.9,1,1,T1_rt95_gt_tau
1800,2026-02-13 04:01:36,172,,525.0,77.16,0.5808354341086504,690507776.0,66.9,1,1,T1_rt95_gt_tau
60,2026-02-13 04:37:03,184,,958.0,73.6,0.2784618385006111,686014464.0,66.9,1,1,T1_rt95_gt_tau
120,2026-02-13 04:38:03,184,,970.0,72.25,0.7371786949060797,686284800.0,66.9,1,1,T1_rt95_gt_tau
300,2026-02-13 04:41:03,184,,521.0,68.13,0.5648253950151079,686100480.0,66.9,1,1,T1_rt95_gt_tau
360,2026-02-13 04:42:03,184,,634.0,67.95,0.5096445172597651,686419968.0,66.9,1,1,T1_rt95_gt_tau
600,2026-02-13 04:46:03,184,,482.0,67.43,0.4732143956873887,687329280.0,66.9,1,1,T1_rt95_gt_tau
720,2026-02-13 04:48:03,184,,489.0,67.96,0.3980523386167954,687083520.0,66.9,1,1,T1_rt95_gt_tau
840,2026-02-13 04:50:03,184,,601.0,68.11,0.4798326857499722,687493120.0,66.9,1,1,T1_rt95_gt_tau
960,2026-02-13 04:52:03,184,,570.0,67.82,0.5195507749321557,687751168.0,66.9,1,1,T1_rt95_gt_tau
1020,2026-02-13 04:53:03,184,,606.0,69.76,0.4842283262351347,687104000.0,66.9,1,1,T1_rt95_gt_tau
1140,2026-02-13 04:55:03,184,,654.0,70.16,0.5472172041693582,687288320.0,66.9,1,1,T1_rt95_gt_tau
1380,2026-02-13 04:59:03,184,,958.0,72.12,0.8208501250714265,687927296.0,66.9,1,1,T1_rt95_gt_tau
1440,2026-02-13 05:00:03,184,,962.0,69.81,0.8585813778768048,688349184.0,66.9,1,1,T1_rt95_gt_tau
1500,2026-02-13 05:01:03,184,,979.0,72.75,0.8751859673755852,688525312.0,66.9,1,1,T1_rt95_gt_tau
1560,2026-02-13 05:02:03,184,,960.0,71.38,0.861097865104369,688320512.0,66.9,1,1,T1_rt95_gt_tau
60,2026-02-13 06:13:46,204,,958.0,67.42,0.3727604379931129,649969664.0,66.9,1,1,T1_rt95_gt_tau
180,2026-02-13 06:15:46,204,,797.0,68.59,0.8494770979576504,650391552.0,66.9,1,1,T1_rt95_gt_tau
240,2026-02-13 06:16:46,204,,636.0,67.79,0.6978914874281681,650326016.0,66.9,1,1,T1_rt95_gt_tau
480,2026-02-13 06:20:46,204,,677.0,68.2,0.6199803695592166,651169792.0,66.9,1,1,T1_rt95_gt_tau
540,2026-02-13 06:21:46,204,,489.0,67.43,0.5614325698575888,651452416.0,66.9,1,1,T1_rt95_gt_tau
600,2026-02-13 06:22:46,204,,482.0,67.14,0.4695218917061634,650891264.0,66.9,1,1,T1_rt95_gt_tau
840,2026-02-13 06:26:46,204,,601.0,67.88,0.5107937501241354,651763712.0,66.9,1,1,T1_rt95_gt_tau
900,2026-02-13 06:27:46,204,,575.0,68.64,0.5529436816929866,651800576.0,66.9,1,1,T1_rt95_gt_tau
1020,2026-02-13 06:29:46,204,,606.0,70.2,0.5550783531471662,651300864.0,66.9,1,1,T1_rt95_gt_tau
1140,2026-02-13 06:31:46,204,,654.0,68.55,0.608309470953246,652488704.0,66.9,1,1,T1_rt95_gt_tau
1200,2026-02-13 06:32:46,204,,815.0,69.49,0.6783329346149443,652316672.0,66.9,1,1,T1_rt95_gt_tau
1260,2026-02-13 06:33:46,204,,806.0,68.72,0.7552572510095302,651689984.0,66.9,1,1,T1_rt95_gt_tau
1320,2026-02-13 06:34:46,204,,929.0,69.49,0.8104387133972774,652275712.0,66.9,1,1,T1_rt95_gt_tau
