run_time_s,timestamp,config,num_users,actual_rpm,rt_95,total_cpu,total_mem,tau_ms,is_trigger,trigger_type,trigger_label
60,2026-02-12 11:46:31,67,,958.0,71.04,0.1696875585842703,513175552.0,66.9,1,1,T1_rt95_gt_tau
120,2026-02-12 11:47:31,67,,970.0,72.12,0.7365562423218835,515334144.0,66.9,1,1,T1_rt95_gt_tau
180,2026-02-12 11:48:31,67,,797.0,69.13,0.7548783328052102,515268608.0,66.9,1,1,T1_rt95_gt_tau
300,2026-02-12 11:50:31,67,,521.0,68.13,0.5109551858453697,514981888.0,66.9,1,1,T1_rt95_gt_tau
360,2026-02-12 11:51:31,67,,634.0,67.87,0.4576545046568796,515031040.0,66.9,1,1,T1_rt95_gt_tau
660,2026-02-12 11:56:31,67,,522.0,67.65,0.4228309058522416,526409728.0,66.9,1,1,T1_rt95_gt_tau
780,2026-02-12 11:58:31,67,,499.0,67.82,0.3987281963921469,526151680.0,66.9,1,1,T1_rt95_gt_tau
900,2026-02-12 12:00:31,67,,575.0,68.7,0.5038511492917348,525955072.0,66.9,1,1,T1_rt95_gt_tau
960,2026-02-12 12:01:31,67,,570.0,69.22,0.4194750652664076,525946880.0,66.9,1,1,T1_rt95_gt_tau
1020,2026-02-12 12:02:31,67,,606.0,68.13,0.4990588080806129,526209024.0,66.9,1,1,T1_rt95_gt_tau
1200,2026-02-12 12:05:31,67,,815.0,69.4,0.5873745570486645,530534400.0,66.9,1,1,T1_rt95_gt_tau
1260,2026-02-12 12:06:31,67,,806.0,68.8,0.6692408712518472,528207872.0,66.9,1,1,T1_rt95_gt_tau
1380,2026-02-12 12:08:31,67,,958.0,71.19,0.7764199665616315,529043456.0,66.9,1,1,T1_rt95_gt_tau
1500,2026-02-12 12:10:31,67,,979.0,70.65,0.7651175185343395,529330176.0,66.9,1,1,T1_rt95_gt_tau
1620,2026-02-12 13:16:56,83,,860.0,67.02,0.7549998514604979,613875712.0,66.9,1,1,T1_rt95_gt_tau
180,2026-02-12 21:40:19,96,,797.0,67.43,0.7140053324953674,651296768.0,66.9,1,1,T1_rt95_gt_tau
120,2026-02-13 03:33:36,172,,970.0,78.62,0.8971298755358054,683229184.0,66.9,1,1,T1_rt95_gt_tau
180,2026-02-13 03:34:36,172,,797.0,76.28,0.8543396828880477,681025536.0,66.9,1,1,T1_rt95_gt_tau
360,2026-02-13 03:37:36,172,,634.0,77.73,0.5246137930873165,681496576.0,66.9,1,1,T1_rt95_gt_tau
600,2026-02-13 03:41:36,172,,482.0,76.59,0.4731761313638091,684560384.0,66.9,1,1,T1_rt95_gt_tau
660,2026-02-13 03:42:36,172,,522.0,76.81,0.4830160826774535,685006848.0,66.9,1,1,T1_rt95_gt_tau
780,2026-02-13 03:44:36,172,,499.0,76.28,0.439073419841688,685371392.0,66.9,1,1,T1_rt95_gt_tau
840,2026-02-13 03:45:36,172,,601.0,77.35,0.4914364579497879,685780992.0,66.9,1,1,T1_rt95_gt_tau
900,2026-02-13 03:46:36,172,,575.0,76.51,0.5493352029155172,685506560.0,66.9,1,1,T1_rt95_gt_tau
960,2026-02-13 03:47:36,172,,570.0,77.1,0.5290367082804832,686174208.0,66.9,1,1,T1_rt95_gt_tau
1140,2026-02-13 03:50:36,172,,654.0,77.48,0.6055916639149611,687091712.0,66.9,1,1,T1_rt95_gt_tau
1260,2026-02-13 03:52:36,172,,806.0,76.89,0.7423109410703983,686428160.0,66.9,1,1,T1_rt95_gt_tau
1440,2026-02-13 03:55:36,172,,962.0,78.4,0.9349502322844276,687161344.0,66.9,1,1,T1_rt95_gt_tau
180,2026-02-13 04:39:03,184,,797.0,67.83,0.8065897512075163,686186496.0,66.9,1,1,T1_rt95_gt_tau
540,2026-02-13 04:45:03,184,,489.0,67.4,0.5316214841481668,687325184.0,66.9,1,1,T1_rt95_gt_tau
660,2026-02-13 04:47:03,184,,522.0,67.96,0.4223768256140335,687685632.0,66.9,1,1,T1_rt95_gt_tau
780,2026-02-13 04:49:03,184,,499.0,66.96,0.4169967433885483,687206400.0,66.9,1,1,T1_rt95_gt_tau
1080,2026-02-13 04:54:03,184,,636.0,67.51,0.5365766036181603,687435776.0,66.9,1,1,T1_rt95_gt_tau
1200,2026-02-13 04:56:03,184,,815.0,67.52,0.6071030426807733,687808512.0,66.9,1,1,T1_rt95_gt_tau
1260,2026-02-13 04:57:03,184,,806.0,68.67,0.704705596896672,688152576.0,66.9,1,1,T1_rt95_gt_tau
1320,2026-02-13 04:58:03,184,,929.0,70.38,0.7608484772805001,688050176.0,66.9,1,1,T1_rt95_gt_tau
1620,2026-02-13 05:03:03,184,,860.0,67.17,0.8360499091703494,688500736.0,66.9,1,1,T1_rt95_gt_tau
1680,2026-02-13 05:04:03,184,,664.0,69.33,0.7317162428893562,688889856.0,66.9,1,1,T1_rt95_gt_tau
1740,2026-02-13 05:05:03,184,,610.0,69.94,0.611590264452824,688107520.0,66.9,1,1,T1_rt95_gt_tau
120,2026-02-13 06:14:46,204,,970.0,70.14,0.8132702843921646,650772480.0,66.9,1,1,T1_rt95_gt_tau
300,2026-02-13 06:17:46,204,,521.0,78.46,0.5833754029379983,650776576.0,66.9,1,1,T1_rt95_gt_tau
360,2026-02-13 06:18:46,204,,634.0,67.34,0.5711970976973895,650563584.0,66.9,1,1,T1_rt95_gt_tau
420,2026-02-13 06:19:46,204,,640.0,67.52,0.5987814216482228,651063296.0,66.9,1,1,T1_rt95_gt_tau
720,2026-02-13 06:24:46,204,,489.0,67.68,0.4751067706758864,651231232.0,66.9,1,1,T1_rt95_gt_tau
780,2026-02-13 06:25:46,204,,499.0,68.2,0.465202404295755,651444224.0,66.9,1,1,T1_rt95_gt_tau
1080,2026-02-13 06:30:46,204,,636.0,69.39,0.5859969440560437,651530240.0,66.9,1,1,T1_rt95_gt_tau
1680,2026-02-13 06:40:46,204,,664.0,69.41,0.7381238871713531,652132352.0,66.9,1,1,T1_rt95_gt_tau
1740,2026-02-13 06:41:46,204,,610.0,68.53,0.6201453014939697,652193792.0,66.9,1,1,T1_rt95_gt_tau
1800,2026-02-13 06:42:46,204,,525.0,68.0,0.544309944144456,652435456.0,66.9,1,1,T1_rt95_gt_tau
